Week,Gym and Fitness Centre: (Worldwide),Weight loss: (Worldwide)
2013-01-06,68,90
2013-01-13,65,84
2013-01-20,63,82
2013-01-27,62,80
2013-02-03,61,80
2013-02-10,58,73
2013-02-17,60,84
2013-02-24,60,82
2013-03-03,59,83
2013-03-10,58,83
2013-03-17,58,82
2013-03-24,59,80
2013-03-31,59,86
2013-04-07,58,87
2013-04-14,57,86
2013-04-21,57,86
2013-04-28,59,83
2013-05-05,56,84
2013-05-12,56,85
2013-05-19,55,80
2013-05-26,58,82
2013-06-02,60,83
2013-06-09,56,82
2013-06-16,56,81
2013-06-23,57,80
2013-06-30,57,81
2013-07-07,57,86
2013-07-14,57,85
2013-07-21,57,82
2013-07-28,59,84
2013-08-04,60,84
2013-08-11,61,84
2013-08-18,61,81
2013-08-25,64,79
2013-09-01,71,77
2013-09-08,67,75
2013-09-15,64,75
2013-09-22,63,76
2013-09-29,64,74
2013-10-06,62,75
2013-10-13,63,75
2013-10-20,60,76
2013-10-27,59,74
2013-11-03,62,76
2013-11-10,61,77
2013-11-17,59,77
2013-11-24,57,69
2013-12-01,56,66
2013-12-08,53,63
2013-12-15,53,61
2013-12-22,56,61
2013-12-29,69,86
2014-01-05,79,99
2014-01-12,75,91
2014-01-19,73,88
2014-01-26,70,84
2014-02-02,69,86
2014-02-09,66,82
2014-02-16,69,87
2014-02-23,67,86
2014-03-02,67,87
2014-03-09,66,90
2014-03-16,64,91
2014-03-23,64,89
2014-03-30,64,90
2014-04-06,63,90
2014-04-13,61,85
2014-04-20,63,91
2014-04-27,61,85
2014-05-04,62,86
2014-05-11,61,86
2014-05-18,60,89
2014-05-25,61,84
2014-06-01,63,84
2014-06-08,60,81
2014-06-15,58,81
2014-06-22,60,82
2014-06-29,60,81
2014-07-06,60,84
2014-07-13,62,86
2014-07-20,62,86
2014-07-27,63,86
2014-08-03,64,86
2014-08-10,62,81
2014-08-17,64,82
2014-08-24,67,78
2014-08-31,73,76
2014-09-07,70,77
2014-09-14,67,76
2014-09-21,65,74
2014-09-28,67,75
2014-10-05,63,73
2014-10-12,63,77
2014-10-19,61,75
2014-10-26,60,74
2014-11-02,62,74
2014-11-09,60,74
2014-11-16,60,72
2014-11-23,61,68
2014-11-30,61,69
2014-12-07,57,67
2014-12-14,56,64
2014-12-21,56,61
2014-12-28,70,83
2015-01-04,80,100
2015-01-11,79,95
2015-01-18,76,90
2015-01-25,71,87
2015-02-01,71,85
2015-02-08,67,80
2015-02-15,69,82
2015-02-22,67,87
2015-03-01,70,89
2015-03-08,68,88
2015-03-15,66,89
2015-03-22,64,86
2015-03-29,65,83
2015-04-05,66,90
2015-04-12,66,92
2015-04-19,65,88
2015-04-26,65,84
2015-05-03,65,85
2015-05-10,63,85
2015-05-17,64,87
2015-05-24,66,86
2015-05-31,67,87
2015-06-07,64,87
2015-06-14,64,85
2015-06-21,63,82
2015-06-28,64,83
2015-07-05,64,84
2015-07-12,65,83
2015-07-19,66,87
2015-07-26,67,85
2015-08-02,67,86
2015-08-09,67,84
2015-08-16,68,83
2015-08-23,70,79
2015-08-30,77,80
2015-09-06,76,77
2015-09-13,72,76
2015-09-20,71,78
2015-09-27,70,76
2015-10-04,68,76
2015-10-11,66,76
2015-10-18,65,76
2015-10-25,64,75
2015-11-01,67,77
2015-11-08,66,75
2015-11-15,64,73
2015-11-22,62,70
2015-11-29,64,70
2015-12-06,61,68
2015-12-13,61,67
2015-12-20,61,63
2015-12-27,73,81
2016-01-03,85,99
2016-01-10,79,90
2016-01-17,77,88
2016-01-24,74,86
2016-01-31,76,87
2016-02-07,70,81
2016-02-14,72,85
2016-02-21,73,89
2016-02-28,73,88
2016-03-06,71,83
2016-03-13,69,85
2016-03-20,68,80
2016-03-27,70,88
2016-04-03,72,89
2016-04-10,71,90
2016-04-17,68,87
2016-04-24,68,82
2016-05-01,68,83
2016-05-08,68,84
2016-05-15,69,82
2016-05-22,68,80
2016-05-29,70,83
2016-06-05,68,81
2016-06-12,66,77
2016-06-19,66,78
2016-06-26,68,78
2016-07-03,77,79
2016-07-10,95,80
2016-07-17,92,80
2016-07-24,89,83
2016-07-31,84,81
2016-08-07,83,75
2016-08-14,76,75
2016-08-21,79,76
2016-08-28,81,76
2016-09-04,84,75
2016-09-11,78,74
2016-09-18,78,73
2016-09-25,75,71
2016-10-02,71,67
2016-10-09,70,69
2016-10-16,69,70
2016-10-23,68,67
2016-10-30,68,69
2016-11-06,67,68
2016-11-13,69,69
2016-11-20,69,63
2016-11-27,67,66
2016-12-04,65,65
2016-12-11,63,61
2016-12-18,64,56
2016-12-25,70,67
2017-01-01,89,91
2017-01-08,85,89
2017-01-15,84,86
2017-01-22,82,81
2017-01-29,81,83
2017-02-05,79,83
2017-02-12,74,79
2017-02-19,78,86
2017-02-26,79,84
2017-03-05,77,84
2017-03-12,75,84
2017-03-19,77,84
2017-03-26,74,82
2017-04-02,74,83
2017-04-09,70,76
2017-04-16,71,81
2017-04-23,70,78
2017-04-30,74,78
2017-05-07,72,78
2017-05-14,70,78
2017-05-21,70,78
2017-05-28,74,76
2017-06-04,71,76
2017-06-11,74,74
2017-06-18,80,78
2017-06-25,80,77
2017-07-02,79,77
2017-07-09,78,80
2017-07-16,77,77
2017-07-23,77,77
2017-07-30,80,76
2017-08-06,79,75
2017-08-13,76,73
2017-08-20,76,71
2017-08-27,80,70
2017-09-03,83,68
2017-09-10,80,68
2017-09-17,78,69
2017-09-24,76,67
2017-10-01,76,67
2017-10-08,74,67
2017-10-15,73,67
2017-10-22,71,67
2017-10-29,71,65
2017-11-05,73,68
2017-11-12,72,63
2017-11-19,71,61
2017-11-26,70,63
2017-12-03,68,61
2017-12-10,67,57
2017-12-17,65,53
2017-12-24,73,61
2017-12-31,79,67
